"act_type","base_price","causes_deadline_changes","causes_price_changes","centralized_procedure","contract_close_date","contract_date","Exectution","execution_dummy","contractual_modifications","contractual_price","effective_total_price","Variation_price","environmental_criteria","environmental","execution_period","procedure_type","cpvs","competing_entities","contract_year","contract_month","contract_day","covid_pandemic","nipcs","Location","loc","cpvPrincipal_2chars","cpv_descricao","CPV_agrupado","bidders","ln_effective_total_price","ln_base_price","contract_year_centered","contract_year_sq","efficiency","custo_aumentou","risk_prob","price_sim_rf"
"Standard Procedure Notice",17021.9,"-","NÃO FOI NECESSARIO ADEQUIRIR OS LOTES DESTE FORNECEDOR","-",2023-12-29,2022-11-30,394,0,"-",5.54,5.54,0,"-",0,365,"Concurso público","33140000-3, Material médico de consumo","GLSMED TRADE, S.A (513515119),BATIST MEDICAL PORTUGAL, UNIP., LDA (EX-DOCWORLD) (508592909),TEXTIL PLANAS OLIVERAS PORTUGAL UNIPESSOAL LDA (509211216),OVERPHARMA - PROD. MÉDICOS E FARMACÊUTICOS, LDA. (505792362),MEDLINE PORTUGAL (510533515),ABILIO FREIRE, LDA (500432600),ANASTACIO SALDANHA S.A (505804441),ESSITY PORTUGAL, LDA (EX. BSN/SCA) (503237612),EZEQUIEL PANAO JORGE, LDA (501412727)",2022,11,30,1,"509186998","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",16,1.71199450075919,9.7423147753921,0.60362350861692,0.364361340155001,0.000300424862389387,0,0,5.54
"Standard Procedure Notice",52028.42,"31-12-2023","Diminuição de consumo","-",2023-12-31,2023-01-17,348,1,"-",8,8,0,"-",0,366,"Concurso público","33600000-6, Produtos farmacêuticos","NOVO NORDISK PORTUGAL, LDA. (501485210),Imporquímica (502473274),BDRPharma, Lda (513077332),Octapharma-Prod Farmacêuticos, Lda (502820780),SIDEFARMA - Soc. Exp. Farmacêutica, (500717419),CSL BEHRING (503047201),B Braun Medical, Lda (501506543),GENERIS - FARMACEUTICA SA (508107997),Clinifar-Produtos Clínicos e Farmacêuticos, S.A (503281115),GLAXOSMITHKLINE CONSUMER (500276994),BAXTER MEDICO FARMACEUTICA LDA (503347345),LABESFAL - LABORATÓRIOS ALMIRO, S.A. (501169580),LAB. PFIZER, LDA. (500162166),ESTERIPLAS (502020776),THEA PORTUGAL, S.A. (507978358),Fresenius Kabi Pharma Portugal, Lda. (504293753),Mylan, Lda (502248793),Overpharma - Produtos Médicos e Farmacêuticos, Lda. (505792362),SPC – South Point Care – Especialidades Farmacêuticas, Lda. (508284872),SANDOZ FARMACÊUTICA, LDA. (506985261),H.R. - HOSPITALAR, LDA (501895558),Proclinica-Equipamentos e Produtos Clínicos, Lda (500222665),UCB PHARMA (PRODUTOS FARMACÊUTICOS), LIMITADA (500291322),JOHNSON & JOHNSON, LDA (500153370),ALLOGA LOGIFARMA, SA (503934640),TEVA PHARMA - PRODUTOS FARMACEUTICOS,LDA (507045491)",2023,1,17,1,"509186998","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",46,2.07944154167984,10.8595646068073,1.60362350861692,2.57160835738884,0.000124266299325903,0,0,8
"Deadline Extension Notice",134577.3,"-","-","-",2020-12-31,2020-07-14,170,1,"-",10,10,0,"-",0,170,"Concurso público","33140000-3, Material médico de consumo","EPJMEDICA - ARTIGOS MÉDICOS HOSPITALARES (506820513),QUILABAN-QUIM. LAB. ANALITICA,LDA (500399670),COLOPLAST PORTUGAL SOC. UNIP., LDA (EX PORGES) (503989037),HOSPITEX,LDA (501909842),SPECULLUM ARTIGOS MÉDICOS SA (502996323),Virtugal, Lda. (510113923),INTERSURGICAL PORTUGAL, LDA (503480045),B BRAUN MEDICAL, LDA. (501506543),ALFRAPHAR - Equipamentos e Produtos Farmacêuticos, Lda. (504223895),BASTOS VIEGAS (500042772),MEDLINE INTERNATIONAL PORTUGAL , UNIPESSOAL, LDA. (510533515),M.U.C.- MATERIAL DE UTILIDADE CLÍNICA, LDA. (502379308),EZEQUIEL PANÃO JORGE, LDA (501412727),EUROCASMEDICA - PRODUTOS HOSPITALARES,SA (503322105),HR - HOSPITALAR, LDA (501895558),HELDER GONÇALVES Assistência Técnica de Equipamentos, Lda. (503855421),FUJIFILM EUROPE GMBH (980456517),LINEAMEDICA-DISPOSITIVOS MEDICOS-CIRUGICOS, SA (505148676),PAUL HARTMANN (502271728),AVIQUIMICA- IMPORTAÇÃO E MANUFACTURAS, LDA (500039720),VWR International - Material de Laboratório,Lda. (503842770),DIMOR LUSITANA - COMÉRCIO (500730741),NOSBET - Equipamentos, LDA. (513514872),OVERPHARMA - PRODUTOS MEDICOS E FARM. (505792362),TELEFLEX MEDICAL, S.A. (980249783),PMH - PRODUTOS MÉDICOS HOSPITALARES, S.A. (502376899),VYGON PORTUGAL (503232785),Promeicentro, Lda. (506470113),ANASTACIO SALDANHA UNIPESSOAL, LDA (505804441),CARDINAL HEALTH PORTUGAL 513, UNIPESSOAL (513620834),ESTERIPLÁS - PRODUTOS PARA (502020776),BATIST MEDICAL PORTUGAL UNIP., LDA (508592909),ESSITY PORTUGAL, LDA (503237612),MEDTRONIC PORTUGAL, LDA (504223933)",2020,7,14,1,"503122165","PT16F","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",60,2.30258509299405,11.8099014647707,-1.39637649138308,1.94986730568732,8.33423454317336e-05,0,0,10
"Standard Procedure Notice",53973.05,"-","-","-",2022-07-15,2022-05-10,66,1,"-",12.68,12.68,0,"-",0,670,"Concurso público","33694000-1, Meios de diagnóstico","Normax - Fábrica de vidros científicos, Lda. (500203130),VWR International - Material de Laboratório,Lda. (503842770),BAPTISTA MARQUES - DIAGNÓSTICA E REAGENTES, LDA (501439110),NEXTPHARMA Unipessoal, LDA. (510810454),BASTOS VIEGAS SA (500042772),ROCHE SISTEMAS DE DIAGNOSTICOS, LDA (504282921),Med Trust Portugal, Lda (510862993),CSP SAÚDE - Centro de Serviços Partilhados, S.A. (508440246),Quilaban, S.A (500399670),KNOW-HOW, LDA. (509884296),Abbott Laboratórios Lda (500006148),GLOBIPROTEC Unipessoal, Lda (508194970)",2022,5,10,1,"503135593","PT11","PT11","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",22,2.54002594900908,10.896258654487,0.60362350861692,0.364361340155001,0.00022639467951492,0,0,12.68
"Standard Procedure Notice",50756,"-","-","-",2022-06-24,2021-05-18,402,0,"-",13.5,13.5,0,"-",0,91,"Concurso público","33100000-1, Equipamento médico","ANASTÁCIO SALDANHA SA (505804441),Afonso, Camacho Lda (511001070),H.R Hospitalar Lda (501895558),Enerre - Produções e Representações, Lda. (500732680),Salutec - Serviços e Equipamentos de Saúde, Lda. (506380408),VISIPAPEL - PAPEL E CARTÃO, LDA (502020733),RACLAC, S.A. (507992822),Socime II Prod. Médicos, LDA (504453939),Be-Epic Pharma Lda. (516059483),PLANETA VERTICAL, LDA (514929170),Batist Medical, Lda. (508592909),Ezequiel Panão Jorge, Lda (501412727),Medirm - Fabrico e Comércio de Dispositivos Médicos, Lda (507162773),DIVISIONCARE HEALTH SERVICES UNIP. LDA (510616593),USV MED, LDA (516125885),Medline international Portugal, Unipessoal, Lda. (510533515),TILIAFARM - COMERCIALIZAÇÃO DE PRODUTOS FARMACÊUTICOS, LDA (508891140),Barna Import Medica Portugal, Unipessoal, LDA (513468994),Overpharma, Lda. (505792362),Ravagnani Dental, Lda. (507000145),Desafios Em Sintonia - Unipessoal Lda (513589910)",2021,5,18,1,"506361659","PT16J","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",39,2.60268968544438,10.8348048184269,-0.39637649138308,0.157114322921161,0.000280573274294801,0,0,13.5
"Standard Procedure Notice",181982.07,"-","-","-",2018-12-15,2016-12-15,730,0,"-",14.4,14.4,0,"-",0,365,"Concurso público","33140000-3, Material médico de consumo","-",2016,12,15,0,"506361381","PT112","PT11","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",1,2.66722820658195,12.1116689397541,-5.39637649138308,29.120879236752,8.87090355963949e-05,0,0,14.4
"Standard Procedure Notice",62904.66,"-","-","-",2022-12-31,2022-11-16,45,1,"-",16.94,16.94,0,"-",0,45,"Concurso público","33696000-5, Reagentes e meios de contraste","Biogerm Indústria, Lda (516436490),Fisher Scientific Lda. (506429210),Know How Lda (509884296),PVL (501411852),BIO-RAD LABORATORIES, LDA. (501301321),Ibercult - Comércio de Testes na (507001664),CSPSaúde, (508440246),ILC Instrumentos de Laboratório e Científicos Lda (500948208),Laborspirit Lda (507485149),Normax - Fábrica de Vidros Científicos, Lda. (500203130),IBERLAB & IMUNOREAGE SOLUCOES LABORATORIOS,LDA (503406694),Type Solution, S.A. (508400317),QUILABAN, S.A (500399670),BIOMERIEUX PORTUGAL (501524177)",2022,11,16,1,"503122165","PT16F","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",21,2.82967768922391,11.049391422742,0.60362350861692,0.364361340155001,0.000260110315733741,0,0,16.94
"Standard Procedure Notice",170368.2,"-","NÃO FOI NECESSARIO ADQUIRIR LOTES DESTE FORNECEDOR","-",2023-12-29,2023-01-10,353,1,"-",18.6,18.6,0,"-",0,365,"Concurso público","33140000-3, Material médico de consumo","QUILABAN - QUIMICA LABORATORIAL ANALÍTICA, LDA (500399670),BECTON DICKINSON PORTUGAL UNIPESSOAL, LDA (514239743),PMH - Produtos Médicos-Hospitalares, S.A. (502376899),TELEFLEX MEDICAL, S.A. (980249783),Virtugal, Lda. (510113923),LELEMAN (B46193827),Repor Global - Soluções, Lda. (513835717),EPJMédica, Art.Médicos Hospitalares (506820513),Vygon (Portugal)-Produtos Médic Farmaceuticos,Lda (503232785),B. Braun Medical Lda (501506543),H.R Hospitalar Lda (501895558),ANASTÁCIO SALDANHA, UNIPESSOAL, LDA (505804441),USV MED, LDA (516125885),MEDICINALIA - CORMÉDICA, COMERCIALIZAÇÃO DE PRODUTOS HOSPITALARES, LDA (500684324),Smiths Medical, Unipessoal,Lda (507445937),Overpharma, Produtos Médicos e Farmacêuticos, Lda (505792362),Batist Medical, Lda (508592909)",2023,1,10,1,"509186998","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",35,2.92316158071916,12.0457231258662,1.60362350861692,2.57160835738884,9.360287539787e-05,0,0,18.6
"Standard Procedure Notice",52028.42,"31-12-2023","Diminuição de consumo","-",2023-12-31,2023-01-17,348,1,"-",18.85,18.85,0,"-",0,366,"Concurso público","33600000-6, Produtos farmacêuticos","Clinifar-Produtos Clínicos e Farmacêuticos, S.A (503281115),Overpharma - Produtos Médicos e Farmacêuticos, Lda. (505792362),H.R. - HOSPITALAR, LDA (501895558),THEA PORTUGAL, S.A. (507978358),Proclinica-Equipamentos e Produtos Clínicos, Lda (500222665),Fresenius Kabi Pharma Portugal, Lda. (504293753),ALLOGA LOGIFARMA, SA (503934640),TEVA PHARMA - PRODUTOS FARMACEUTICOS,LDA (507045491),SPC – South Point Care – Especialidades Farmacêuticas, Lda. (508284872),GENERIS - FARMACEUTICA SA (508107997),BDRPharma, Lda (513077332),Imporquímica (502473274),BAXTER MEDICO FARMACEUTICA LDA (503347345),Octapharma-Prod Farmacêuticos, Lda (502820780),GLAXOSMITHKLINE CONSUMER (500276994),ESTERIPLAS (502020776),CSL BEHRING (503047201),SIDEFARMA - Soc. Exp. Farmacêutica, (500717419),B Braun Medical, Lda (501506543),LABESFAL - LABORATÓRIOS ALMIRO, S.A. (501169580),NOVO NORDISK PORTUGAL, LDA. (501485210),Mylan, Lda (502248793),SANDOZ FARMACÊUTICA, LDA. (506985261),UCB PHARMA (PRODUTOS FARMACÊUTICOS), LIMITADA (500291322),JOHNSON & JOHNSON, LDA (500153370),LAB. PFIZER, LDA. (500162166)",2023,1,17,1,"509186998","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",46,2.93651291389402,10.8595646068073,1.60362350861692,2.57160835738884,0.000289926249013493,0,0,18.85
"Standard Procedure Notice",168126.87,"-","-","-",2023-01-13,2022-04-12,276,1,"-",19.1,19.1,0,"-",0,365,"Concurso público","33140000-3, Material médico de consumo","EUROCASMEDICA - PRODUTOS HOSPITALARES,SA (503322105),RACLAC, S.A. (507992822),FACTOR PLUS, SA (502810645),Oxray, Lda (508930014),PPTEX-INDUSTRIA TEXTIL, LDA (514863471),EZEQUIEL PANAO JORGE (501412727),H.R Hospitalar Lda (501895558),LINEAMEDICA-DISPOSITIVOS MEDICOS-CIRUGICOS, SA (505148676),BOSTON SCIENTIFIC PORTUGAL LDA (504988964),HELDER GONÇALVES (503855421),OASIPOR - IMP. EXP., LDA (502260750),ANTAO MEDICAL (507754468),MOLNLYCKE HEALTH CARE COM PROD HOSPITALARES, LDA (511101066),ANASTÁCIO SALDANHA, UNIPESSOAL, LDA. (505804441),Eurosafe - Unipessoal, Lda (505826801),MEDLINE INTERNACIONAL PORTUGAL UNIPESSOAL, LDA (510533515),EZEQUIEL PANAO JORGE (506820513),BATIST MEDICAL PORTUGAL, UNIP., LDA (EX-DOCWORLD) (508592909),M.U.C.- MATERIAL DE UTILIDADE CLÍNICA, LDA. (502379308),ESTERIPLAS (502020776),USV MED, Lda (516125885),DIMOR LUSITANA, LDA (500730741),Medirm - Fabrico e Comércio de Dispositivos Médicos, Lda (507162773),SPECULUM (502996323),Overpharma, Lda. (505792362),FILSAT EQUIPAMENTOS MEDICO CIENTIFICOS LDA (506708616),PAUL HARTMANN, LDA (502271728),Salutec - Serviços e Equipamentos de Saúde. Ldª (506380408),Bastos Viegas S.A. (500042772)",2022,4,12,1,"503122165","PT16F","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",49,2.94968833505258,12.0324800998245,0.60362350861692,0.364361340155001,0.000111597108782061,0,0,19.1
