"variable","contribution","variable_name","variable_value","sign","label","B"
"act_type = Standard Procedure Notice",-0.000182235969951392,"act_type","Standard Procedure Notice",-1,"RF",0
"bidders = 16",-0.00769120636323464,"bidders","16",-1,"RF",0
"contract_year = 2022",0.00132761820592135,"contract_year","2022",1,"RF",0
"covid_pandemic = 1",0.000416438356164385,"covid_pandemic","1",1,"RF",0
"CPV_agrupado = Group 02: Medical Equipment",-0.00979920459566947,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",0
"environmental = 0",1.94432169686256e-06,"environmental","0",1,"RF",0
"execution_dummy = 0",0.00139566946531153,"execution_dummy","0",1,"RF",0
"ln_base_price = 9.742",0.00156570923552807,"ln_base_price","9.742",1,"RF",0
"loc = PT17",0.00228475475033142,"loc","PT17",1,"RF",0
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",1
"bidders = 16",-0.0105302695536898,"bidders","16",-1,"RF",1
"act_type = Standard Procedure Notice",3.09323906319062e-05,"act_type","Standard Procedure Notice",1,"RF",1
"covid_pandemic = 1",0.000172337604949181,"covid_pandemic","1",1,"RF",1
"environmental = 0",0,"environmental","0",0,"RF",1
"ln_base_price = 9.742",-0.00129032258064517,"ln_base_price","9.742",-1,"RF",1
"CPV_agrupado = Group 02: Medical Equipment",-0.00342907644719397,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",1
"contract_year = 2022",0,"contract_year","2022",0,"RF",1
"execution_dummy = 0",0,"execution_dummy","0",0,"RF",1
"contract_year = 2022",0.000897039328325255,"contract_year","2022",1,"RF",2
"ln_base_price = 9.742",0.00546619531595226,"ln_base_price","9.742",1,"RF",2
"CPV_agrupado = Group 02: Medical Equipment",-0.0138532920901458,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",2
"environmental = 0",0,"environmental","0",0,"RF",2
"bidders = 16",-0.00319045514803357,"bidders","16",-1,"RF",2
"loc = PT17",0,"loc","PT17",0,"RF",2
"covid_pandemic = 1",0,"covid_pandemic","1",0,"RF",2
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",2
"execution_dummy = 0",0,"execution_dummy","0",0,"RF",2
"execution_dummy = 0",0.0020989836500221,"execution_dummy","0",1,"RF",3
"contract_year = 2022",0.00198409191338933,"contract_year","2022",1,"RF",3
"covid_pandemic = 1",0.000830755634114015,"covid_pandemic","1",1,"RF",3
"ln_base_price = 9.742",0.00813963764913831,"ln_base_price","9.742",1,"RF",3
"bidders = 16",-0.0189085285019886,"bidders","16",-1,"RF",3
"environmental = 0",0,"environmental","0",0,"RF",3
"loc = PT17",0.00322580645161289,"loc","PT17",1,"RF",3
"CPV_agrupado = Group 02: Medical Equipment",-0.00805125939018996,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",3
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",3
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",4
"covid_pandemic = 1",0.00159080866106938,"covid_pandemic","1",1,"RF",4
"execution_dummy = 0",0.00685373398144056,"execution_dummy","0",1,"RF",4
"ln_base_price = 9.742",0.00366769774635439,"ln_base_price","9.742",1,"RF",4
"CPV_agrupado = Group 02: Medical Equipment",-0.0242200618647813,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",4
"environmental = 0",8.83782589483021e-06,"environmental","0",1,"RF",4
"act_type = Standard Procedure Notice",-0.000141405214317279,"act_type","Standard Procedure Notice",-1,"RF",4
"contract_year = 2022",0.00131683605832964,"contract_year","2022",1,"RF",4
"bidders = 16",-0.0041228457799381,"bidders","16",-1,"RF",4
"bidders = 16",-0.00786566504639858,"bidders","16",-1,"RF",5
"CPV_agrupado = Group 02: Medical Equipment",-0.00209014582412726,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",5
"execution_dummy = 0",7.5121520106054e-05,"execution_dummy","0",1,"RF",5
"covid_pandemic = 1",-8.83782589482989e-06,"covid_pandemic","1",-1,"RF",5
"contract_year = 2022",-4.41891294741493e-05,"contract_year","2022",-1,"RF",5
"loc = PT17",0.000141405214317278,"loc","PT17",1,"RF",5
"environmental = 0",0,"environmental","0",0,"RF",5
"ln_base_price = 9.742",-0.000888201502430403,"ln_base_price","9.742",-1,"RF",5
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",5
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",6
"CPV_agrupado = Group 02: Medical Equipment",-0.00980114891736638,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",6
"environmental = 0",8.83782589482934e-06,"environmental","0",1,"RF",6
"covid_pandemic = 1",0.000450729120636316,"covid_pandemic","1",1,"RF",6
"contract_year = 2022",-0.00203269995581085,"contract_year","2022",-1,"RF",6
"act_type = Standard Procedure Notice",-0.000145824127264692,"act_type","Standard Procedure Notice",-1,"RF",6
"ln_base_price = 9.742",-0.0011268228015908,"ln_base_price","9.742",-1,"RF",6
"bidders = 16",-0.0023994697304463,"bidders","16",-1,"RF",6
"execution_dummy = 0",0,"execution_dummy","0",0,"RF",6
"bidders = 16",-0.00786566504639858,"bidders","16",-1,"RF",7
"execution_dummy = 0",0.00131241714538223,"execution_dummy","0",1,"RF",7
"loc = PT17",0.00282368537339813,"loc","PT17",1,"RF",7
"covid_pandemic = 1",0.000194432169686254,"covid_pandemic","1",1,"RF",7
"contract_year = 2022",0.0015908086610694,"contract_year","2022",1,"RF",7
"environmental = 0",0,"environmental","0",0,"RF",7
"CPV_agrupado = Group 02: Medical Equipment",-0.00784798939460892,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",7
"act_type = Standard Procedure Notice",6.62836942112228e-05,"act_type","Standard Procedure Notice",1,"RF",7
"ln_base_price = 9.742",-0.000954485196641625,"ln_base_price","9.742",-1,"RF",7
"act_type = Standard Procedure Notice",-0.000782147591692442,"act_type","Standard Procedure Notice",-1,"RF",8
"ln_base_price = 9.742",0.00202828104286347,"ln_base_price","9.742",1,"RF",8
"execution_dummy = 0",0.00285019885108264,"execution_dummy","0",1,"RF",8
"CPV_agrupado = Group 02: Medical Equipment",-0.012129916040654,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",8
"environmental = 0",0,"environmental","0",0,"RF",8
"bidders = 16",-0.0026380910296067,"bidders","16",-1,"RF",8
"covid_pandemic = 1",0,"covid_pandemic","1",0,"RF",8
"loc = PT17",-8.83782589482987e-06,"loc","PT17",-1,"RF",8
"contract_year = 2022",0,"contract_year","2022",0,"RF",8
"act_type = Standard Procedure Notice",-0.000782147591692442,"act_type","Standard Procedure Notice",-1,"RF",9
"covid_pandemic = 1",0.000790985417587273,"covid_pandemic","1",1,"RF",9
"environmental = 0",0,"environmental","0",0,"RF",9
"bidders = 16",-0.00786566504639858,"bidders","16",-1,"RF",9
"loc = PT17",0.001895713654441,"loc","PT17",1,"RF",9
"ln_base_price = 9.742",-0.00129032258064517,"ln_base_price","9.742",-1,"RF",9
"execution_dummy = 0",0.0023420238621299,"execution_dummy","0",1,"RF",9
"contract_year = 2022",0.00244365885992045,"contract_year","2022",1,"RF",9
"CPV_agrupado = Group 02: Medical Equipment",-0.00821475916924432,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",9
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",10
"contract_year = 2022",0.00295625276182058,"contract_year","2022",1,"RF",10
"ln_base_price = 9.742",0.00687582854617767,"ln_base_price","9.742",1,"RF",10
"covid_pandemic = 1",0.002960671674768,"covid_pandemic","1",1,"RF",10
"bidders = 16",-0.0228192664604508,"bidders","16",-1,"RF",10
"CPV_agrupado = Group 02: Medical Equipment",-0.00501988510826334,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",10
"environmental = 0",0,"environmental","0",0,"RF",10
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",10
"execution_dummy = 0",0,"execution_dummy","0",0,"RF",10
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",11
"covid_pandemic = 1",0.00133893062306674,"covid_pandemic","1",1,"RF",11
"contract_year = 2022",0.00456473707467961,"contract_year","2022",1,"RF",11
"environmental = 0",0,"environmental","0",0,"RF",11
"bidders = 16",-0.0154573574900575,"bidders","16",-1,"RF",11
"loc = PT17",0.00186036235086168,"loc","PT17",1,"RF",11
"execution_dummy = 0",0.00303137428192662,"execution_dummy","0",1,"RF",11
"CPV_agrupado = Group 02: Medical Equipment",-0.00805125939018996,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",11
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",11
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",12
"contract_year = 2022",0.00433053468846662,"contract_year","2022",1,"RF",12
"bidders = 16",-0.0141405214317278,"bidders","16",-1,"RF",12
"covid_pandemic = 1",0.000256296950950062,"covid_pandemic","1",1,"RF",12
"execution_dummy = 0",0.00166593018117541,"execution_dummy","0",1,"RF",12
"act_type = Standard Procedure Notice",0.000163499779054352,"act_type","Standard Procedure Notice",1,"RF",12
"environmental = 0",0,"environmental","0",0,"RF",12
"CPV_agrupado = Group 02: Medical Equipment",-0.00498895271763142,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",12
"loc = PT17",0,"loc","PT17",0,"RF",12
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",13
"bidders = 16",-0.0105302695536898,"bidders","16",-1,"RF",13
"act_type = Standard Procedure Notice",3.09323906319062e-05,"act_type","Standard Procedure Notice",1,"RF",13
"ln_base_price = 9.742",-0.00139195757843571,"ln_base_price","9.742",-1,"RF",13
"CPV_agrupado = Group 02: Medical Equipment",-0.00315510384445425,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",13
"covid_pandemic = 1",0,"covid_pandemic","1",0,"RF",13
"execution_dummy = 0",0,"execution_dummy","0",0,"RF",13
"contract_year = 2022",0,"contract_year","2022",0,"RF",13
"environmental = 0",0,"environmental","0",0,"RF",13
"covid_pandemic = 1",0.000923552806009725,"covid_pandemic","1",1,"RF",14
"contract_year = 2022",0.00024304021210784,"contract_year","2022",1,"RF",14
"CPV_agrupado = Group 02: Medical Equipment",-0.00870525850640744,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",14
"execution_dummy = 0",-0.00011489173663279,"execution_dummy","0",-1,"RF",14
"environmental = 0",0,"environmental","0",0,"RF",14
"ln_base_price = 9.742",-0.000861688024745909,"ln_base_price","9.742",-1,"RF",14
"act_type = Standard Procedure Notice",-8.83782589482991e-05,"act_type","Standard Procedure Notice",-1,"RF",14
"loc = PT17",0.00204595669465309,"loc","PT17",1,"RF",14
"bidders = 16",-0.0041228457799381,"bidders","16",-1,"RF",14
"act_type = Standard Procedure Notice",-0.000782147591692442,"act_type","Standard Procedure Notice",-1,"RF",15
"covid_pandemic = 1",0.000790985417587273,"covid_pandemic","1",1,"RF",15
"loc = PT17",0.00519222271321259,"loc","PT17",1,"RF",15
"CPV_agrupado = Group 02: Medical Equipment",-0.0102783915156872,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",15
"contract_year = 2022",-0.002076889085285,"contract_year","2022",-1,"RF",15
"bidders = 16",-0.0026380910296067,"bidders","16",-1,"RF",15
"execution_dummy = 0",6.62836942112228e-05,"execution_dummy","0",1,"RF",15
"ln_base_price = 9.742",-0.000954485196641625,"ln_base_price","9.742",-1,"RF",15
"environmental = 0",0,"environmental","0",0,"RF",15
"CPV_agrupado = Group 02: Medical Equipment",-0.00554131683605833,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",16
"execution_dummy = 0",-0.000623066725585511,"execution_dummy","0",-1,"RF",16
"contract_year = 2022",-0.00109147149801148,"contract_year","2022",-1,"RF",16
"covid_pandemic = 1",-0.000397702165267342,"covid_pandemic","1",-1,"RF",16
"environmental = 0",0,"environmental","0",0,"RF",16
"ln_base_price = 9.742",-0.000861688024745909,"ln_base_price","9.742",-1,"RF",16
"loc = PT17",0.00220503756076003,"loc","PT17",1,"RF",16
"bidders = 16",-0.00437030490499334,"bidders","16",-1,"RF",16
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",16
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",17
"execution_dummy = 0",0.0026027397260274,"execution_dummy","0",1,"RF",17
"bidders = 16",-0.0122580645161291,"bidders","16",-1,"RF",17
"act_type = Standard Procedure Notice",1.76756517896596e-05,"act_type","Standard Procedure Notice",1,"RF",17
"covid_pandemic = 1",0.000309323906319041,"covid_pandemic","1",1,"RF",17
"contract_year = 2022",0.00160406539991161,"contract_year","2022",1,"RF",17
"loc = PT17",0.00322580645161289,"loc","PT17",1,"RF",17
"CPV_agrupado = Group 02: Medical Equipment",-0.00821475916924432,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",17
"environmental = 0",0,"environmental","0",0,"RF",17
"execution_dummy = 0",0.0020989836500221,"execution_dummy","0",1,"RF",18
"environmental = 0",1.76756517896604e-05,"environmental","0",1,"RF",18
"bidders = 16",-0.00866106937693329,"bidders","16",-1,"RF",18
"CPV_agrupado = Group 02: Medical Equipment",-0.00333627927529826,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",18
"ln_base_price = 9.742",-0.000764471939902784,"ln_base_price","9.742",-1,"RF",18
"loc = PT17",0,"loc","PT17",0,"RF",18
"act_type = Standard Procedure Notice",-3.53513035793195e-05,"act_type","Standard Procedure Notice",-1,"RF",18
"covid_pandemic = 1",0,"covid_pandemic","1",0,"RF",18
"contract_year = 2022",0,"contract_year","2022",0,"RF",18
"act_type = Standard Procedure Notice",-0.000782147591692442,"act_type","Standard Procedure Notice",-1,"RF",19
"ln_base_price = 9.742",0.00202828104286347,"ln_base_price","9.742",1,"RF",19
"CPV_agrupado = Group 02: Medical Equipment",-0.00845338046840479,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",19
"loc = PT17",-0.00147149801148917,"loc","PT17",-1,"RF",19
"contract_year = 2022",0.000587715422006183,"contract_year","2022",1,"RF",19
"execution_dummy = 0",0.0019310649580203,"execution_dummy","0",1,"RF",19
"environmental = 0",0,"environmental","0",0,"RF",19
"bidders = 16",-0.00452054794520544,"bidders","16",-1,"RF",19
"covid_pandemic = 1",0,"covid_pandemic","1",0,"RF",19
"contract_year = 2022",0.000897039328325255,"contract_year","2022",1,"RF",20
"bidders = 16",-0.00831197525408752,"bidders","16",-1,"RF",20
"execution_dummy = 0",0.00182501104728236,"execution_dummy","0",1,"RF",20
"loc = PT17",0.00348210340256299,"loc","PT17",1,"RF",20
"covid_pandemic = 1",0.000163499779054357,"covid_pandemic","1",1,"RF",20
"CPV_agrupado = Group 02: Medical Equipment",-0.00784798939460892,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",20
"ln_base_price = 9.742",-0.000888201502430403,"ln_base_price","9.742",-1,"RF",20
"environmental = 0",0,"environmental","0",0,"RF",20
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",20
"loc = PT17",0.00436588599204599,"loc","PT17",1,"RF",21
"contract_year = 2022",0.00295625276182058,"contract_year","2022",1,"RF",21
"ln_base_price = 9.742",0.00687582854617767,"ln_base_price","9.742",1,"RF",21
